##########################################################
Permission changes from API version 22 to 23
##########################################################
ADDED:
	PERMISSION:          android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS 	 OF_LEVEL:            normal   OF_TYPE:    core
	PERMISSION:                android.permission.RECEIVE_WIFI_CREDENTIAL_CHANGE 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:              android.permission.OBSERVE_GRANT_REVOKE_PERMISSIONS 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                                    android.permission.DVB_DEVICE 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                        android.permission.MODIFY_CELL_BROADCASTS 	 OF_LEVEL: signatureOrSystem   OF_TYPE:    core
	PERMISSION:                          android.permission.SEND_CALL_LOG_CHANGE 	 OF_LEVEL: signatureOrSystem   OF_TYPE: package
	PERMISSION:               android.permission.BIND_TELECOM_CONNECTION_SERVICE 	 OF_LEVEL: signatureOrSystem   OF_TYPE:    core
	PERMISSION:                         android.permission.CHANGE_APP_IDLE_STATE 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                          android.permission.TABLET_MODE_LISTENER 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                          android.permission.DISPATCH_NFC_MESSAGE 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                            android.permission.MANAGE_FINGERPRINT 	 OF_LEVEL: signatureOrSystem   OF_TYPE:    core
	PERMISSION:                   android.permission.BIND_INTENT_FILTER_VERIFIER 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                               android.permission.USE_FINGERPRINT 	 OF_LEVEL:            normal   OF_TYPE:    core
	PERMISSION:                        android.permission.GET_PACKAGE_IMPORTANCE 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                          android.permission.RECEIVE_STK_COMMANDS 	 OF_LEVEL: signatureOrSystem   OF_TYPE:    core
	PERMISSION:            android.permission.PROCESS_PHONE_ACCOUNT_REGISTRATION 	 OF_LEVEL: signatureOrSystem   OF_TYPE: package
	PERMISSION:                     android.permission.CAMERA_SEND_SYSTEM_EVENTS 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                             android.permission.LOCAL_MAC_ADDRESS 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                          android.permission.OVERRIDE_WIFI_CONFIG 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                   android.permission.BIND_CHOOSER_TARGET_SERVICE 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                           android.permission.BIND_ROUTE_PROVIDER 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                      android.permission.PACKET_KEEPALIVE_OFFLOAD 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                     android.permission.GRANT_RUNTIME_PERMISSIONS 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:          android.permission.BROADCAST_PHONE_ACCOUNT_REGISTRATION 	 OF_LEVEL: signatureOrSystem   OF_TYPE: package
	PERMISSION:                             android.permission.PEERS_MAC_ADDRESS 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                                 android.permission.UPDATE_CONFIG 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:              android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                  android.permission.NOTIFY_PENDING_SYSTEM_UPDATE 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:             android.permission.CONFIGURE_DISPLAY_COLOR_TRANSFORM 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:              android.permission.ACCESS_VOICE_INTERACTION_SERVICE 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:              android.permission.INTENT_FILTER_VERIFICATION_AGENT 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                       android.permission.GET_ACCOUNTS_PRIVILEGED 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                      android.permission.BIND_MIDI_DEVICE_SERVICE 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                       android.permission.ACCESS_IMS_CALL_SERVICE 	 OF_LEVEL: signatureOrSystem   OF_TYPE:    core
	PERMISSION:                              android.permission.READ_TV_LISTINGS 	 OF_LEVEL:         dangerous   OF_TYPE: package
	PERMISSION:          android.permission.QUERY_DO_NOT_ASK_CREDENTIALS_ON_BOOT 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                     android.permission.RESET_FINGERPRINT_LOCKOUT 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:             android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                    android.permission.ACCESS_NOTIFICATION_POLICY 	 OF_LEVEL:            normal   OF_TYPE:    core
	PERMISSION:                         android.permission.BIND_CARRIER_SERVICES 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                      android.permission.REQUEST_INSTALL_PACKAGES 	 OF_LEVEL:            normal   OF_TYPE:    core
	PERMISSION:                    android.permission.REVOKE_RUNTIME_PERMISSIONS 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                        android.permission.PERFORM_SIM_ACTIVATION 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                             com.android.systemui.permission.SELF 	 OF_LEVEL:         signature   OF_TYPE: package
	PERMISSION:             android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST 	 OF_LEVEL: signatureOrSystem   OF_TYPE:    core
	PERMISSION:                                      android.permission.KILL_UID 	 OF_LEVEL:         signature   OF_TYPE:    core
--------------------------------------------
REMOVED:
	PERMISSION:                    org.chromium.content_shell.permission.SANDBOX 	 OF_LEVEL:         signature   OF_TYPE: package
	PERMISSION:                       org.chromium.chrome.shell.permission.DEBUG 	 OF_LEVEL:         signature   OF_TYPE: package
	PERMISSION:                      android.permission.GRANT_REVOKE_PERMISSIONS 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                     org.chromium.chrome.shell.permission.SANDBOX 	 OF_LEVEL:         signature   OF_TYPE: package
	PERMISSION:                   android.permission.ACCESS_ALL_EXTERNAL_STORAGE 	 OF_LEVEL:         signature   OF_TYPE:    core
	PERMISSION:                 org.chromium.chrome.shell.permission.C2D_MESSAGE 	 OF_LEVEL:         signature   OF_TYPE: package
	PERMISSION:                           android.permission.MMS_SEND_OUTBOX_MSG 	 OF_LEVEL: signatureOrSystem   OF_TYPE: package
	PERMISSION:                 org.chromium.chromecast.shell.permission.SANDBOX 	 OF_LEVEL:         signature   OF_TYPE: package
--------------------------------------------
CHANGED_LEVEL:
	PERMISSION:                              android.permission.READ_DREAM_STATE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                android.permission.BIND_WALLPAPER    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                           android.permission.NFC_HANDOVER_STATUS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                  android.permission.BODY_SENSORS    OF_TYPE:    core 	 FROM_LEVEL:         signature 	 TO_LEVEL:         dangerous
	PERMISSION:                            android.permission.READ_SOCIAL_STREAM    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                          android.permission.MODIFY_AUDIO_ROUTING    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                           android.permission.NFC    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                    android.permission.READ_NETWORK_USAGE_HISTORY    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                         android.permission.BIND_DIRECTORY_SEARCH    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                      android.permission.SHUTDOWN    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                      android.permission.INTERNET    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                          android.permission.CHANGE_CONFIGURATION    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                      android.permission.START_TASKS_FROM_RECENTS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                       android.permission.REMOVE_DRM_CERTIFICATES    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                 android.permission.BIND_TV_INPUT    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:           com.android.browser.permission.WRITE_HISTORY_BOOKMARKS    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                   android.permission.CHANGE_WIFI_MULTICAST_STATE    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                                   android.permission.UPDATE_LOCK    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:             android.permission.MODIFY_APPWIDGET_BIND_PERMISSIONS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                         android.permission.CONNECTIVITY_INTERNAL    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                        android.permission.READ_SEARCH_INDEXABLES    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                          android.permission.INVOKE_CARRIER_SETUP    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                      android.permission.HDMI_CEC    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                           android.permission.FORCE_STOP_PACKAGES    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                com.android.providers.tv.permission.READ_EPG_DATA    OF_TYPE: package 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                         android.permission.WRITE_SECURE_SETTINGS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                               android.permission.CALL_PRIVILEGED    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                           android.permission.SYSTEM_ALERT_WINDOW    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:         signature
	PERMISSION:                                          android.permission.DUMP    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                             android.permission.CHANGE_WIFI_STATE    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                                  android.permission.READ_PROFILE    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                   android.permission.LAUNCH_TRUST_AGENT_SETTINGS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                           android.permission.SET_ANIMATION_SCALE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                             android.permission.SET_PROCESS_LIMIT    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                   android.permission.CAPTURE_SECURE_VIDEO_OUTPUT    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                 android.permission.WRITE_PROFILE    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                                 android.permission.SET_DEBUG_APP    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                     android.permission.BLUETOOTH    OF_TYPE:    core 	 FROM_LEVEL:         dangerous 	 TO_LEVEL:            normal
	PERMISSION:                         android.permission.INTERACT_ACROSS_USERS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                            android.permission.MODIFY_PHONE_STATE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                android.permission.BIND_CARRIER_MESSAGING_SERVICE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                          android.permission.UPDATE_APP_OPS_STATS    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                                        android.permission.REBOOT    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                   android.permission.READ_PRIVILEGED_PHONE_STATE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                       android.permission.SET_WALLPAPER_COMPONENT    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
	PERMISSION:                             android.permission.WRITE_DREAM_STATE    OF_TYPE:    core 	 FROM_LEVEL: signatureOrSystem 	 TO_LEVEL:         signature
