permission_group_name,manifest_path,manifest_type,priority
android.permission-group.COST_MONEY,frameworks/base/core/res/AndroidManifest.xml,core,
android.permission-group.MESSAGES,frameworks/base/core/res/AndroidManifest.xml,core,
android.permission-group.PERSONAL_INFO,frameworks/base/core/res/AndroidManifest.xml,core,
android.permission-group.LOCATION,frameworks/base/core/res/AndroidManifest.xml,core,
android.permission-group.NETWORK,frameworks/base/core/res/AndroidManifest.xml,core,
android.permission-group.ACCOUNTS,frameworks/base/core/res/AndroidManifest.xml,core,
android.permission-group.HARDWARE_CONTROLS,frameworks/base/core/res/AndroidManifest.xml,core,
android.permission-group.PHONE_CALLS,frameworks/base/core/res/AndroidManifest.xml,core,
android.permission-group.STORAGE,frameworks/base/core/res/AndroidManifest.xml,core,
android.permission-group.SYSTEM_TOOLS,frameworks/base/core/res/AndroidManifest.xml,core,
android.permission-group.DEVELOPMENT_TOOLS,frameworks/base/core/res/AndroidManifest.xml,core,
