permission_name,manifest_path,manifest_type,permissionGroup,protectionLevel,permissionFlags
org.chromium.content_shell.permission.SANDBOX,external/chromium_org/content/shell/android/linker_test_apk/AndroidManifest.xml,test,,signature,
org.chromium.content_shell.permission.SANDBOX,external/chromium_org/content/shell/android/browsertests_apk/AndroidManifest.xml,test,,signature,
org.chromium.content_shell.permission.SANDBOX,external/chromium_org/content/shell/android/shell_apk/AndroidManifest.xml,package,,signature,
org.chromium.chrome.shell.permission.SANDBOX,external/chromium_org/chrome/android/shell/java/AndroidManifest.xml,package,,signature,
org.chromium.chrome.shell.permission.C2D_MESSAGE,external/chromium_org/chrome/android/shell/java/AndroidManifest.xml,package,,signature,
org.chromium.chrome.shell.permission.DEBUG,external/chromium_org/chrome/android/shell/java/AndroidManifest.xml,package,android.permission-group.DEVELOPMENT_TOOLS,signature,
org.chromium.chrome.shell.permission.SANDBOX,external/chromium_org/chrome/android/sync_shell/java/AndroidManifest.xml,package,,signature,
org.chromium.chrome.shell.permission.C2D_MESSAGE,external/chromium_org/chrome/android/sync_shell/java/AndroidManifest.xml,package,,signature,
org.chromium.chromecast.shell.permission.SANDBOX,external/chromium_org/chromecast/shell/android/apk/AndroidManifest.xml,package,,signature,
android.permission.BROADCAST_CALLLOG_INFO,packages/services/Telecomm/AndroidManifest.xml,package,,signature|system,
android.permission.PROCESS_CALLLOG_INFO,packages/services/Telecomm/AndroidManifest.xml,package,,signature|system,
android.permission.ACCESS_DOWNLOAD_MANAGER,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signatureOrSystem,
android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signatureOrSystem,
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signature,
android.permission.DOWNLOAD_CACHE_NON_PURGEABLE,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signatureOrSystem,
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,packages/providers/DownloadProvider/AndroidManifest.xml,package,android.permission-group.NETWORK,normal,
android.permission.ACCESS_ALL_DOWNLOADS,packages/providers/DownloadProvider/AndroidManifest.xml,package,,signature,
com.android.providers.tv.permission.READ_EPG_DATA,packages/providers/TvProvider/AndroidManifest.xml,package,,dangerous,
com.android.providers.tv.permission.WRITE_EPG_DATA,packages/providers/TvProvider/AndroidManifest.xml,package,,dangerous,
com.android.providers.tv.permission.ACCESS_ALL_EPG_DATA,packages/providers/TvProvider/AndroidManifest.xml,package,,signatureOrSystem,
com.android.providers.tv.permission.ACCESS_WATCHED_PROGRAMS,packages/providers/TvProvider/AndroidManifest.xml,package,,signatureOrSystem,
com.android.launcher.permission.INSTALL_SHORTCUT,packages/apps/Launcher3/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,dangerous,
com.android.launcher.permission.UNINSTALL_SHORTCUT,packages/apps/Launcher3/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,dangerous,
com.android.launcher3.permission.READ_SETTINGS,packages/apps/Launcher3/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,normal,
com.android.launcher3.permission.WRITE_SETTINGS,packages/apps/Launcher3/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,signatureOrSystem,
com.android.launcher3.permission.RECEIVE_LAUNCH_BROADCASTS,packages/apps/Launcher3/AndroidManifest.xml,package,,signature,
com.android.launcher3.permission.RECEIVE_FIRST_LOAD_BROADCAST,packages/apps/Launcher3/AndroidManifest.xml,package,,signatureOrSystem,
com.android.certinstaller.INSTALL_AS_USER,packages/apps/CertInstaller/AndroidManifest.xml,package,,signature,
com.android.launcher.permission.PRELOAD_WORKSPACE,packages/apps/Launcher2/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,signatureOrSystem,
com.android.launcher.permission.INSTALL_SHORTCUT,packages/apps/Launcher2/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,dangerous,
com.android.launcher.permission.UNINSTALL_SHORTCUT,packages/apps/Launcher2/AndroidManifest.xml,package,android.permission-group.SYSTEM_TOOLS,dangerous,
